Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,GL Adams,A Shrubsole,D van Niekerk,0,0
2,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,GL Adams,A Shrubsole,D van Niekerk,0,0
3,4,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,GL Adams,A Shrubsole,D van Niekerk,4,0
4,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,GL Adams,A Shrubsole,D van Niekerk,4,0
5,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,GL Adams,A Shrubsole,D van Niekerk,5,0
6,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,GL Adams,5,0
7,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,GL Adams,5,0
8,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,GL Adams,5,0
9,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,GL Adams,5,0
10,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,GL Adams,5,0
11,0,1,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,GL Adams,A Shrubsole,D van Niekerk,5,1
12,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Shrubsole,D van Niekerk,5,1
13,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Shrubsole,D van Niekerk,5,1
14,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Shrubsole,D van Niekerk,5,1
15,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Shrubsole,D van Niekerk,6,1
16,4,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,FC Wilson,10,1
17,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,FC Wilson,10,1
18,4,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,FC Wilson,14,1
19,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,FC Wilson,15,1
20,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,FC Wilson,16,1
21,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,LK Bell,D van Niekerk,16,1
22,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,A Shrubsole,FC Wilson,17,1
23,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,A Shrubsole,FC Wilson,18,1
24,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Shrubsole,D van Niekerk,18,1
25,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Shrubsole,D van Niekerk,19,1
26,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Shrubsole,D van Niekerk,20,1
27,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,A Shrubsole,FC Wilson,20,1
28,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,A Shrubsole,FC Wilson,21,1
29,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Wellington,D van Niekerk,22,1
30,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,A Wellington,FC Wilson,23,1
31,4,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Wellington,D van Niekerk,27,1
32,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Wellington,D van Niekerk,27,1
33,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Wellington,D van Niekerk,27,1
34,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,FMK Morris,FC Wilson,28,1
35,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,FMK Morris,D van Niekerk,28,1
36,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,FMK Morris,D van Niekerk,29,1
37,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,FMK Morris,FC Wilson,30,1
38,4,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,FMK Morris,D van Niekerk,34,1
39,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,SR Taylor,D van Niekerk,34,1
40,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,SR Taylor,D van Niekerk,35,1
41,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,SR Taylor,D van Niekerk,36,1
42,2,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,SR Taylor,FC Wilson,38,1
43,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,SR Taylor,FC Wilson,39,1
44,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,SR Taylor,D van Niekerk,40,1
45,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Wellington,D van Niekerk,41,1
46,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,A Wellington,FC Wilson,42,1
47,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Wellington,D van Niekerk,43,1
48,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,A Wellington,FC Wilson,44,1
49,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Wellington,D van Niekerk,45,1
50,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,TG Norris,FC Wilson,45,1
51,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,TG Norris,FC Wilson,46,1
52,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,TG Norris,D van Niekerk,46,1
53,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,TG Norris,D van Niekerk,47,1
54,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,TG Norris,D van Niekerk,48,1
55,4,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,TG Norris,FC Wilson,52,1
56,4,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,FMK Morris,D van Niekerk,56,1
57,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,FMK Morris,D van Niekerk,56,1
58,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,FMK Morris,D van Niekerk,56,1
59,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,FMK Morris,D van Niekerk,57,1
60,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,FMK Morris,FC Wilson,57,1
61,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,SR Taylor,FC Wilson,58,1
62,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,SR Taylor,D van Niekerk,59,1
63,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,SR Taylor,FC Wilson,59,1
64,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,SR Taylor,FC Wilson,60,1
65,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,SR Taylor,D van Niekerk,61,1
66,0,1,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,FC Wilson,A Wellington,D van Niekerk,61,2
67,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,M Kapp,A Wellington,D van Niekerk,62,2
68,0,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,A Wellington,M Kapp,62,2
69,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,A Wellington,M Kapp,63,2
70,1,0,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,M Kapp,A Wellington,D van Niekerk,64,2
71,0,1,Oval Invincibles,1,2021,female,Oval Invincibles,48 runs,"Lord's, London",Southern Brave,field,Southern Brave,D van Niekerk,LK Bell,M Kapp,64,3
